Id,FirstName,LastName,ExpectedGraduation,GPA,Major
1,Olivero,Frarey,2025,1.07,Electrical Engineering
2,Bartolomeo,Saphin,2023,0.53,Computer Science
3,Winny,Maleck,2026,1.67,Electrical Engineering
4,Amelia,Delcastel,2027,0.49,Physics
5,Bernardine,Benbough,2026,1.06,Physics
6,Bob,Twort,2026,0.38,Physics
7,Ailsun,Widdowson,2026,0.46,Computer Science
8,Christiane,Clausson,2027,0.05,Computer Science
9,Rog,Lucas,2024,2.37,Computer Engineering
10,Merry,Pautot,2023,2.79,Electrical Engineering
11,Kile,Boardman,2026,1.32,Computer Engineering
12,Joan,Elleyne,2027,3.94,Computer Science
13,Cherianne,Bernardet,2027,3.1,Mechanical Engineering
14,Josefa,Beekman,2027,2.47,Mechanical Engineering
15,Lenard,Haslen,2024,0.23,Mathematics
16,Angel,Asche,2024,3.01,Computer Science
17,Isahella,Crocket,2023,1.14,Electrical Engineering
18,Ida,Neary,2024,3.59,Physics
19,Ralina,Rosterne,2026,1.62,Electrical Engineering
20,Kalinda,Gaythwaite,2027,1.41,Electrical Engineering
21,Reina,Merton,2025,0.55,Computer Engineering
22,Walker,Dye,2026,0.59,Electrical Engineering
23,Alonso,Thickin,2026,0.55,Mathematics
24,Glynda,Ruddock,2025,3.93,Electrical Engineering
25,Tansy,Manuaud,2023,1.3,Mathematics
26,Rhett,Guinery,2024,0.38,Computer Engineering
27,Alley,Popham,2025,0.99,Computer Science
28,Steve,Jeanesson,2024,1.86,Computer Engineering
29,D'arcy,Gross,2027,2.65,Mechanical Engineering
30,Brett,Kensit,2023,3.4,Computer Engineering
31,Marcelo,Zavattari,2023,3.77,Mechanical Engineering
32,Golda,Volker,2026,1.98,Computer Science
33,Maye,Rihosek,2026,2.02,Physics
34,Pinchas,Stathers,2024,2.41,Computer Engineering
35,Colin,Eates,2026,1.79,Computer Engineering
36,Bertina,McGonigle,2025,2.76,Electrical Engineering
37,Patty,Askham,2024,2.18,Physics
38,Herculie,Dubois,2024,2.84,Electrical Engineering
39,Temp,Gendrich,2027,3.27,Physics
40,Dani,McPhelim,2023,0.46,Computer Science
41,Marie-jeanne,Cottu,2025,1.17,Physics
42,Dom,Pendlebery,2023,0.14,Electrical Engineering
43,Novelia,Densun,2025,3.45,Electrical Engineering
44,Amanda,Bonnick,2023,2.5,Physics
45,Mel,Hardware,2024,3.6,Computer Engineering
46,Tilda,Battson,2026,2.58,Mechanical Engineering
47,Florentia,Rudeforth,2025,2.43,Mathematics
48,Pace,Harkes,2027,2.13,Electrical Engineering
49,Pen,MacElroy,2023,3.89,Mechanical Engineering
50,Orelie,Goulborn,2027,1.16,Electrical Engineering
